month,casual,member,month_name
1,9752.710669077758,674.3369018425361,January
2,8025.738712306438,776.1117684579812,February
3,4266.786614462254,868.8957338928228,March
4,3056.547147285523,810.7675280144875,April
5,3074.301724982848,830.9938250872884,May
6,2755.2023913744642,872.8464787630694,June
7,3587.029499180104,985.9999816601735,July
8,4020.4513427756583,971.1324291151639,August
9,3100.0021831187632,847.8389159611697,September
10,3539.5290209051877,781.8532506957583,October
11,4021.965817443786,745.9242552385762,November
12,3799.959403530128,684.9098383118662,December
